id,temp,humid,Timestamp
10466,22.2,34.9,2020-12-16 17:13:29
10465,22.1,34.9,2020-12-16 17:02:36
10464,22,34.9,2020-12-16 16:57:37
10463,21.9,34.9,2020-12-16 16:52:37
10462,21.8,33.9,2020-12-16 16:47:37
10461,21.7,33.8,2020-12-16 16:42:38
10460,21.7,33.6,2020-12-16 16:41:53
10459,21.8,33.5,2020-12-16 16:36:54
10458,21.7,33.5,2020-12-16 16:31:55
10457,21.7,33.4,2020-12-16 16:26:56
10456,21.7,33.3,2020-12-16 16:21:58
10455,21.9,33.5,2020-12-16 16:18:04
10454,21.9,33.5,2020-12-16 16:16:59
10453,21.9,33.5,2020-12-16 16:14:02
10452,21.9,33.5,2020-12-16 16:13:52
10451,21.9,33.5,2020-12-16 16:12:22
10450,21.9,33.5,2020-12-16 16:12:00
10449,21.8,33.1,2020-12-16 16:11:10
10448,21.8,33.1,2020-12-16 16:07:01
10447,21.7,32.9,2020-12-16 15:57:04
10446,21.7,32.9,2020-12-16 15:55:24
10445,21.7,32.9,2020-12-16 15:55:08
10444,21.7,32.9,2020-12-16 15:54:20
10443,21.7,32.9,2020-12-16 15:54:02
10442,21.7,32.9,2020-12-16 15:52:06
10441,21.6,32.4,2020-12-16 15:48:48
10440,21.6,32.4,2020-12-16 15:47:07
10439,21.6,32.4,2020-12-16 15:43:39
10438,21.6,32.4,2020-12-16 15:42:08
10437,21.6,32.4,2020-12-16 15:41:11
10436,21.6,32.4,2020-12-16 15:37:37
10435,21.6,32.4,2020-12-16 15:37:17
10434,21.6,32.4,2020-12-16 15:35:55
10433,21.6,32.4,2020-12-16 15:35:37
10432,21.6,32.4,2020-12-16 15:34:12
10431,21.6,32.4,2020-12-16 15:33:49
10430,21.6,32.4,2020-12-16 15:33:20
10429,21.6,32.4,2020-12-16 15:33:12
10428,21.6,32.4,2020-12-16 15:32:10
10427,21.6,32.4,2020-12-16 15:29:02
10426,21.6,32.3,2020-12-16 15:24:04
10425,21.6,32.3,2020-12-16 15:23:14
10424,21.6,32.3,2020-12-16 15:21:56
10423,21.6,32.3,2020-12-16 15:20:14
10422,21.5,32.3,2020-12-16 15:18:03
10421,21.6,32.3,2020-12-16 15:17:53
10420,21.6,32.3,2020-12-16 15:17:42
10419,21.6,32.3,2020-12-16 15:17:31
10418,21.6,32.2,2020-12-16 15:17:21
10417,21.6,32.2,2020-12-16 15:17:10
10416,21.6,32.2,2020-12-16 15:16:59
10415,21.6,32.2,2020-12-16 15:16:49
10414,21.6,32.2,2020-12-16 15:16:38
10413,21.6,32.2,2020-12-16 15:16:27
10412,21.6,32.2,2020-12-16 15:16:16
10411,21.6,32.2,2020-12-16 15:15:44
10410,21.6,32.2,2020-12-16 15:15:33
10409,21.6,32.2,2020-12-16 15:15:23
10408,21.6,32.2,2020-12-16 15:14:59
10407,21.6,32.2,2020-12-16 15:14:47
10406,21.6,32.2,2020-12-16 15:14:37
10405,21.6,32.1,2020-12-16 15:14:26
10404,21.6,32.1,2020-12-16 15:14:15
10403,21.6,32.1,2020-12-16 15:14:05
10402,21.6,32.1,2020-12-16 15:13:54
10401,21.5,32.1,2020-12-16 15:13:43
10400,21.6,32.1,2020-12-16 15:13:33
10399,21.5,32.1,2020-12-16 15:13:11
10398,21.6,32.1,2020-12-16 15:13:01
10397,21.6,32.1,2020-12-16 15:12:57
10396,21.6,32.1,2020-12-16 15:12:50
10395,21.5,32.1,2020-12-16 15:12:39
10394,21.6,32.1,2020-12-16 15:12:29
10393,21.6,32.1,2020-12-16 15:12:26
10392,21.6,32.1,2020-12-16 15:12:21
10391,21.6,32.1,2020-12-16 15:12:18
10390,21.5,32.1,2020-12-16 15:12:14
10389,21.5,32.1,2020-12-16 15:12:08
10388,21.6,32,2020-12-16 15:12:07
10387,21.6,32,2020-12-16 15:11:56
10386,21.5,32,2020-12-16 15:11:45
10385,21.5,32,2020-12-16 15:11:35
10384,21.5,31.9,2020-12-16 15:11:23
10383,21.6,31.9,2020-12-16 15:11:12
10382,21.5,31.9,2020-12-16 15:10:51
10381,21.5,31.8,2020-12-16 15:10:40
10380,21.5,31.8,2020-12-16 15:10:30
10379,19.9,28.8,2020-12-16 14:36:02
10378,20,30.8,2020-12-16 14:31:02
10377,19.9,30.7,2020-12-16 14:26:02
10376,19.4,30.3,2020-12-16 14:21:02
10375,19.3,29.7,2020-12-16 14:16:02
10374,19.2,29.8,2020-12-16 14:11:02
10373,19.3,29.7,2020-12-16 14:05:45
10372,19.2,29.7,2020-12-16 14:05:35
10371,19.2,29.7,2020-12-16 14:05:25
10370,19.1,29.7,2020-12-16 14:05:15
10369,19.2,29.7,2020-12-16 14:05:05
10368,19.2,29.6,2020-12-16 14:04:55
10367,19.1,29.5,2020-12-16 14:04:45

